Serial_No,Time,FA0,FB0,CAin,CBin,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
47,01:06:19,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,85.1153,85.1153,9.9392,9.9392,302.137,293.486,0.5001,0.0
48,01:06:20,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,84.8529,84.8529,10.1019,10.1019,302.1205,293.4875,0.5001,0.0
49,01:06:21,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,84.5923,84.5923,10.2629,10.2629,302.1041,293.4889,0.5001,0.0
50,01:06:22,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,84.3336,84.3336,10.4224,10.4224,302.0877,293.4902,0.5001,0.0
51,01:06:23,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,84.0768,84.0768,10.5801,10.5801,302.0713,293.4913,0.5001,0.0
52,01:06:24,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,83.8218,83.8218,10.7363,10.7363,302.0551,293.4924,0.5001,0.0
53,01:06:25,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,83.5686,83.5686,10.8908,10.8908,302.0389,293.4933,0.5001,0.0
54,01:06:26,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,83.3172,83.3172,11.0438,11.0438,302.0227,293.4941,0.5001,0.0
55,01:06:27,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,83.0676,83.0676,11.1952,11.1952,302.0066,293.4949,0.5001,0.0
56,01:06:28,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,82.8197,82.8197,11.3451,11.3451,301.9906,293.4956,0.5001,0.0
57,01:06:29,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,82.5736,82.5736,11.4934,11.4934,301.9747,293.4961,0.5001,0.0
58,01:06:30,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,82.3293,82.3293,11.6403,11.6403,301.9588,293.4967,0.5001,0.0
59,01:06:31,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,82.0866,82.0866,11.7856,11.7856,301.9429,293.4971,0.5001,0.0
