Serial_No,Time,Fa,Fb,Ca_feed,Cb_feed,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa,Fin,Ca0_eff,k_f,rate_net
24,23:41:03,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.18994892775469,48.18994892775469,1.8100510722453145,1.8100510722453145,302.99884597643717,293.0086040515791,0.16670029429428132,3.6201021444906,2.78e-06,50.0,3.2e-05,0.073685
25,23:41:04,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.118423544479505,48.118423544479505,1.8815764555204992,1.8815764555204992,302.99864519531985,293.0086038789382,0.1667003064716161,3.763152911040979,2.78e-06,50.0,3.2e-05,0.073467
26,23:41:05,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,48.04719550747619,48.04719550747619,1.9528044925238122,1.9528044925238122,302.9984427238189,293.00860370484094,0.1667003186421894,3.905608985047604,2.78e-06,50.0,3.2e-05,0.073249
27,23:41:06,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.976263260637566,47.976263260637566,2.023736739362437,2.023736739362437,302.9982385842511,293.00860352930664,0.16670033080600494,4.04747347872485,2.78e-06,50.0,3.2e-05,0.073033
28,23:41:07,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.905625258297434,47.905625258297434,2.094374741702571,2.094374741702571,302.9980327987276,293.00860335235427,0.1667003429630665,4.188749483405118,2.78e-06,50.0,3.2e-05,0.072818
29,23:41:08,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.835279965143215,47.835279965143215,2.164720034856789,2.164720034856789,302.9978253891561,293.0086031740027,0.1667003551133778,4.329440069713552,2.78e-06,50.0,3.2e-05,0.072604
30,23:41:09,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.765225856129476,47.765225856129476,2.2347741438705286,2.2347741438705286,302.99761637724265,293.00860299427063,0.16670036725694262,4.469548287741032,2.78e-06,50.0,3.2e-05,0.072392
31,23:41:10,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.695461416392284,47.695461416392284,2.304538583607712,2.304538583607712,302.9974057844932,293.0086028131766,0.1667003793937647,4.609077167215414,2.78e-06,50.0,3.2e-05,0.07218
32,23:41:11,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.625985141164485,47.625985141164485,2.3740148588355083,2.3740148588355083,302.9971936322156,293.00860263073895,0.16670039152384777,4.74802971767102,2.78e-06,50.0,3.2e-05,0.07197
33,23:41:12,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.556795535691734,47.556795535691734,2.4432044643082538,2.4432044643082538,302.9969799415213,293.00860244697583,0.1667004036471956,4.886408928616515,2.78e-06,50.0,3.2e-05,0.071761
34,23:41:13,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.48789111514946,47.48789111514946,2.5121088848505297,2.5121088848505297,302.9967647333271,293.0086022619053,0.16670041576381192,5.0242177697010675,2.78e-06,50.0,3.2e-05,0.071553
35,23:41:14,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.41927040456057,47.41927040456057,2.5807295954394167,2.5807295954394167,302.99654802835687,293.00860207554524,0.16670042787370049,5.161459190878848,2.78e-06,50.0,3.2e-05,0.071346
36,23:41:15,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.35093193871405,47.35093193871405,2.6490680612859325,2.6490680612859325,302.99632984714344,293.0086018879133,0.16670043997686498,5.298136122571895,2.78e-06,50.0,3.2e-05,0.071141
37,23:41:16,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.28287426208432,47.28287426208432,2.7171257379156604,2.7171257379156604,302.99611021002994,293.0086016990269,0.16670045207330916,5.434251475831342,2.78e-06,50.0,3.2e-05,0.070936
38,23:41:17,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.215095928751396,47.215095928751396,2.7849040712485778,2.7849040712485778,302.9958891371719,293.00860150890355,0.1667004641630368,5.56980814249719,2.78e-06,50.0,3.2e-05,0.070733
39,23:41:18,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.14759550232188,47.14759550232188,2.8524044976781,2.8524044976781,302.9956666485386,293.00860131756036,0.16670047624605158,5.704808995356236,2.78e-06,50.0,3.2e-05,0.070531
40,23:41:19,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.08037155585065,47.08037155585065,2.9196284441493385,2.9196284441493385,302.9954427639148,293.00860112501437,0.16670048832235726,5.839256888298694,2.78e-06,50.0,3.2e-05,0.07033
41,23:41:20,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,47.013422671763394,47.013422671763394,2.986577328236591,2.986577328236591,302.99521750290256,293.0086009312825,0.16670050039195752,5.9731546564732,2.78e-06,50.0,3.2e-05,0.07013
42,23:41:21,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.94674744177992,46.94674744177992,3.053252558220067,3.053252558220067,302.9949908849226,293.0086007363814,0.1667005124548561,6.106505116440153,2.78e-06,50.0,3.2e-05,0.069931
43,23:41:22,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.880344466838125,46.880344466838125,3.1196555331618656,3.1196555331618656,302.99476292921605,293.0086005403278,0.16670052451105674,6.239311066323738,2.78e-06,50.0,3.2e-05,0.069733
44,23:41:23,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.81421235701879,46.81421235701879,3.185787642981198,3.185787642981198,302.9945336548461,293.0086003431379,0.16670053656056313,6.371575285962406,2.78e-06,50.0,3.2e-05,0.069536
